,Iterations,Fitness,Time,State,runner_name,pop_size,mutation_prob,Population Size,Mutation Rate
0,2,27.0,0.0120211759999993,"[0 0 1 1 0 0 1 0 1 0 1 1 1 0 1 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 1 1 0 1 1 1 0
 1 0 1]",GA,10,0.2,10,0.2
1,4,27.0,0.023515669000000017,"[0 0 1 1 0 0 1 0 1 0 1 1 1 0 1 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 1 1 0 1 1 1 0
 1 0 1]",GA,10,0.2,10,0.2
2,8,31.0,0.042957104999999274,"[0 1 0 1 0 1 1 0 1 0 1 1 1 0 1 0 0 1 0 1 0 1 0 1 0 0 0 1 0 1 1 1 0 1 0 1 0
 1 0 1]",GA,10,0.2,10,0.2
3,16,33.0,0.09103389200000045,"[0 1 0 1 0 0 1 0 1 0 1 1 1 0 1 0 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0
 1 0 1]",GA,10,0.2,10,0.2
4,32,35.0,0.1678909829999995,"[0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0
 1 0 1]",GA,10,0.2,10,0.2
5,64,35.0,0.33076060500000004,"[0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0
 1 0 1]",GA,10,0.2,10,0.2
6,128,37.0,0.6076598069999992,"[0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",GA,10,0.2,10,0.2
7,256,37.0,1.187129387999999,"[0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",GA,10,0.2,10,0.2
8,512,37.0,2.314593648999999,"[0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",GA,10,0.2,10,0.2
9,1024,37.0,4.5533144629999995,"[0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",GA,10,0.2,10,0.2
10,2048,37.0,4.832073608,"[0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",GA,10,0.2,10,0.2
11,2,25.0,0.00984204700000113,"[1 1 0 1 1 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 1 1 1 0 0 1 0 0 0 0 1 0 1 0 1 1 1
 0 1 0]",GA,10,0.4,10,0.4
12,4,25.0,0.02005356600000141,"[1 1 0 1 1 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 1 1 1 0 0 1 0 0 0 0 1 0 1 0 1 1 1
 0 1 0]",GA,10,0.4,10,0.4
13,8,27.0,0.03791436200000042,"[1 1 0 1 1 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 0 1 0 1 0 1 1 1
 0 1 0]",GA,10,0.4,10,0.4
14,16,27.0,0.07220452800000032,"[1 1 0 1 1 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 0 1 0 1 0 1 1 1
 0 1 0]",GA,10,0.4,10,0.4
15,32,32.0,0.13609706899999985,"[0 1 0 1 1 1 0 0 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 0 1
 0 1 0]",GA,10,0.4,10,0.4
16,64,34.0,0.2743027420000015,"[0 1 0 1 1 0 1 0 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",GA,10,0.4,10,0.4
17,128,34.0,0.5643902310000009,"[0 1 0 1 1 0 1 0 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",GA,10,0.4,10,0.4
18,256,34.0,1.1380808150000004,"[0 1 0 1 1 0 1 0 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",GA,10,0.4,10,0.4
19,512,38.0,2.2007366580000003,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",GA,10,0.4,10,0.4
20,1024,38.0,4.416108722000001,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",GA,10,0.4,10,0.4
21,2048,38.0,5.793610319999999,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",GA,10,0.4,10,0.4
22,2,25.0,0.01114287700000105,"[0 1 0 1 1 1 0 1 0 0 1 0 1 0 0 1 0 1 0 1 0 0 0 1 0 1 0 0 1 0 0 1 0 1 1 1 1
 1 1 1]",GA,10,0.6,10,0.6
23,4,25.0,0.021239506000000574,"[0 1 0 1 1 1 0 1 0 0 1 0 1 0 0 1 0 1 0 1 0 0 0 1 0 1 0 0 1 0 0 1 0 1 1 1 1
 1 1 1]",GA,10,0.6,10,0.6
24,8,29.0,0.03904559800000129,"[0 1 0 1 1 1 0 1 0 0 1 0 1 0 0 1 0 1 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 1 0 1 0
 1 0 1]",GA,10,0.6,10,0.6
25,16,29.0,0.07374024699999993,"[0 1 0 1 1 1 0 1 0 0 1 0 1 0 0 1 0 1 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 1 0 1 0
 1 0 1]",GA,10,0.6,10,0.6
26,32,33.0,0.13857336200000248,"[0 1 0 1 0 1 0 1 0 0 1 0 1 0 0 1 0 1 0 1 0 0 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0
 1 0 1]",GA,10,0.6,10,0.6
27,64,35.0,0.27246688100000327,"[0 1 0 1 0 1 0 1 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 0 1 0 1 0
 1 0 1]",GA,10,0.6,10,0.6
28,128,35.0,0.5346885180000029,"[0 1 0 1 0 1 0 1 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 0 1 0 1 0
 1 0 1]",GA,10,0.6,10,0.6
29,256,35.0,1.0688029290000003,"[0 1 0 1 0 1 0 1 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 0 1 0 1 0
 1 0 1]",GA,10,0.6,10,0.6
30,512,35.0,2.120946985,"[0 1 0 1 0 1 0 1 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 0 1 0 1 0
 1 0 1]",GA,10,0.6,10,0.6
31,1024,37.0,4.184403386000003,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1
 1 0 1]",GA,10,0.6,10,0.6
