,Iteration,Fitness,Time,State,current_restart,Restarts
0,0,27.0,0.0009351799999999244,"[0 1 1 0 1 1 1 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 1 1 1 1 1 0 0 0 1
 0 1 1 0 1 1 1 0 1 1 0 1 1]",0,0
1,2,27.0,0.007731262000000072,"[0 1 1 0 1 1 1 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 1 1 1 1 1 0 0 0 1
 0 1 1 0 1 1 1 0 1 1 0 1 1]",0,0
2,4,27.0,0.013734054999999579,"[0 1 1 0 1 1 1 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 1 1 1 1 1 0 0 0 1
 0 1 1 0 1 1 1 0 1 1 0 1 1]",0,0
3,8,27.0,0.022781246000000088,"[0 1 1 0 1 1 1 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 1 1 1 1 1 0 0 0 1
 0 1 1 0 1 1 1 0 1 1 0 1 1]",0,0
4,16,33.0,0.03459587499999994,"[0 1 1 0 1 0 1 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 1 1 0 1 1 0 1 0 1
 0 1 1 0 1 1 1 0 1 1 0 1 1]",0,0
5,32,33.0,0.048904063000000164,"[0 1 1 0 1 0 1 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 1 1 0 1 1 0 1 0 1
 0 1 1 0 1 1 1 0 1 1 0 1 1]",0,0
6,64,35.0,0.07483249199999964,"[0 1 1 0 1 0 1 0 1 1 0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 0 1 1 0 1 1 0 1 0 1
 0 1 1 0 1 1 1 0 1 1 0 1 1]",0,0
7,128,35.0,0.12332680699999976,"[0 1 1 0 1 0 1 0 1 1 0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 0 1 1 0 1 1 0 1 0 1
 0 1 1 0 1 1 1 0 1 1 0 1 1]",0,0
8,256,38.0,0.23119505100000026,"[0 1 1 0 1 0 1 0 1 1 0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 0 1 1 0 1 1 0 1 0 1
 0 1 1 0 1 0 1 0 1 1 0 1 0]",0,0
9,512,38.0,0.422975364,"[0 1 1 0 1 0 1 0 1 1 0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 0 1 1 0 1 1 0 1 0 1
 0 1 1 0 1 0 1 0 1 1 0 1 0]",0,0
10,1024,38.0,0.8630300310000001,"[0 1 1 0 1 0 1 0 1 1 0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 0 1 1 0 1 1 0 1 0 1
 0 1 1 0 1 0 1 0 1 1 0 1 0]",0,0
11,2048,38.0,1.9340439799999993,"[0 1 1 0 1 0 1 0 1 1 0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 0 1 1 0 1 1 0 1 0 1
 0 1 1 0 1 0 1 0 1 1 0 1 0]",0,0
12,0,19.0,0.0009864309999993992,"[1 1 1 0 0 1 1 1 0 0 0 0 0 1 1 0 0 0 1 1 1 1 0 0 1 1 0 1 0 1 1 1 1 0 1 1 0
 1 0 0 0 0 0 1 1 1 0 0 0 0]",0,5
13,2,21.0,0.010863036999998243,"[1 1 1 0 0 1 1 1 0 0 0 0 0 1 1 0 0 0 1 1 1 1 0 0 1 1 0 1 0 1 1 1 1 0 1 1 0
 1 0 1 0 0 0 1 1 1 0 0 0 0]",0,5
14,4,23.0,0.016310659999998478,"[1 1 1 0 0 1 1 1 0 1 0 0 0 1 1 0 0 0 1 1 1 1 0 0 1 1 0 1 0 1 1 1 1 0 1 1 0
 1 0 1 0 0 0 1 1 1 0 0 0 0]",0,5
15,8,25.0,0.024007163999998582,"[1 1 1 0 0 1 1 1 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 0 1 1 0 1 0 1 1 1 1 0 1 1 0
 1 0 1 0 0 0 1 1 1 0 0 0 0]",0,5
