,Iterations,Fitness,Time,State,runner_name,schedule,Temperature
0,1,23.0,0.0007042369999936682,"[0 1 0 1 1 0 0 1 0 1 1 1 1 0 0 1 0 1 1 0 1 1 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0
 0 0 1]",SA,1,1
1,2,23.0,0.003630521999994585,"[0 1 0 1 1 0 0 1 0 1 1 1 1 0 0 1 0 1 1 0 0 1 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0
 0 0 1]",SA,1,1
2,4,23.0,0.006142408999991744,"[0 1 0 1 1 0 0 1 0 1 1 1 1 0 0 1 0 1 1 0 0 1 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0
 0 0 1]",SA,1,1
3,8,23.0,0.009593338999991374,"[0 1 0 0 1 0 0 1 0 1 1 1 0 0 0 1 0 1 1 0 0 1 1 1 0 0 1 1 0 1 0 0 1 0 1 0 0
 0 0 1]",SA,1,1
4,16,25.0,0.014392438999990986,"[0 1 0 0 1 0 0 1 0 1 1 0 0 0 0 1 0 0 1 0 0 1 1 1 0 0 0 1 0 1 0 0 1 0 1 0 1
 1 0 1]",SA,1,1
5,32,25.0,0.021538659999990273,"[0 1 1 0 0 1 0 1 0 1 1 1 0 0 0 1 0 0 1 1 0 1 1 1 0 0 0 1 0 0 1 0 1 0 1 0 1
 1 0 1]",SA,1,1
6,64,27.0,0.0352536759999964,"[0 0 1 0 1 1 0 1 0 1 0 1 0 0 1 1 0 0 1 1 1 0 1 1 1 0 1 1 1 0 1 0 1 0 1 0 1
 0 0 1]",SA,1,1
7,128,32.0,0.05884082400000068,"[1 0 1 1 0 1 0 1 0 1 0 1 1 0 0 1 0 0 1 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1
 0 0 1]",SA,1,1
8,256,37.0,0.10571693699999685,"[1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",SA,1,1
9,512,38.0,0.19283023399999877,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",SA,1,1
