,Iteration,Fitness,Time,State,pop_size,mutation_prob,Population Size,Mutation Rate
0,0,785.0,0.29574743999999953,"[ 0  1  9 15 14  1 10  2  1  8  1  2 11  2 18  4  8 12 18 17  0  8 16 14
  4  9 13  0  9  8  9  9 12  3  8]",400,0.2,400,0.2
1,2,1346.0,1.3744462080000002,"[12 13 19 14 16 13 19 16 19  1 18  8  4  9  4  4 12 19 19  8  8  2 13 10
 16 18 16 18  6  9 16 19  5  9 18]",400,0.2,400,0.2
2,4,1381.0,2.402803778999999,"[17 13 12 15 13 10  1 15 19 12 14  9  0 11  8 14 18  5  0 14 15  8  7 12
 19  7 19 17  0 11 10 16  8 19 19]",400,0.2,400,0.2
3,8,1410.0,4.512603628000001,"[19 12 15 19 16  8  0  9 15  1  4  6 14  7 12 17 17  2  9 10 18  0 18 10
 18 15 13  5 19  9 10 16 18 17 17]",400,0.2,400,0.2
4,16,1539.0,9.602525344999998,"[19 19 18 19 19 10  4 19 15 15 17 19 16  6  8 17 18  9  5  9 12  9  7 16
  9  6 16 14  2 15 10 14 15 15 15]",400,0.2,400,0.2
5,32,1608.0,17.985482613000002,"[ 5 16 17 19 19 17  0 19 15  7 19 19 14  4 12 14 17 18  2  0 17  3 13 18
 19  1 19 10 14 17 19 16 18 11 18]",400,0.2,400,0.2
6,64,1668.0,35.072480285,"[19 19 15 19 19 14  0 19 19  1 19 19 13  1 12 17 18  1  0  0 15  6  1 18
 17  1 19 19  4 19 17 19 18 18 18]",400,0.2,400,0.2
7,128,1720.0,69.551811665,"[19 19 19 19 19 14  1 19 19  1 19 19 16  0  1 19 19  5  0  0 16  0 18 19
 19  1 19 19  6 19 18 19 18 19 19]",400,0.2,400,0.2
8,256,1732.0,148.15237713200003,"[19 19 19 19 19 16  0 19 19  0 19 19 19  0  0 19 19  2  0  0 18  0 19 19
 19  1 19 19  6 19 19 19 18 19 19]",400,0.2,400,0.2
9,512,1733.0,299.55763530400003,"[19 19 19 19 19 16  0 19 19  0 19 19 19  0  0 19 19  1  0  0 19  0 19 19
 19  1 19 19  6 19 19 19 18 19 19]",400,0.2,400,0.2
10,1024,1734.0,580.851557664,"[19 19 19 19 19 16  0 19 19  0 19 19 19  0  0 19 19  2  0  0 19  0 19 19
 19  0 19 19  6 19 19 19 18 19 19]",400,0.2,400,0.2
11,2048,1735.0,1186.715176418,"[19 19 19 19 19 16  0 19 19  0 19 19 19  0  0 19 19  2  0  0 19  0 19 19
 19  0 19 18  6 19 19 19 19 19 19]",400,0.2,400,0.2
12,0,1081.0,0.43575437699996655,"[ 8 15  9  7  7 12  2 13  0  0 17 15 17 15  7 12 16 17 11  9 19  6 10  9
  2  9 14 10  6 18  3  9 10  5 12]",400,0.4,400,0.4
13,2,1360.0,2.147236502999931,"[10 16 16 11 13 14  5 13 17 13 14 12  8  4  9 19 19 10 18 19 13  2  5 19
 18  6 10  7 11  5  0 19  0 17 11]",400,0.4,400,0.4
14,4,1360.0,3.6267666679998456,"[10 16 16 11 13 14  5 13 17 13 14 12  8  4  9 19 19 10 18 19 13  2  5 19
 18  6 10  7 11  5  0 19  0 17 11]",400,0.4,400,0.4
15,8,1446.0,6.119543885999974,"[14 11 17 13 15 17  0 12 19  6 18 19 18  2  1 18 14  2 15 13 16 11  6  5
  5  6 19 15 12 14 10 13 17 17 11]",400,0.4,400,0.4
16,16,1554.0,10.705937596000012,"[19 17 16 13 19 11  0  6 19  3  3 14 18 12 17 19 17  9  1  4 12  3  5 18
 16  1 17  7 19 17 18 19 18 18 11]",400,0.4,400,0.4
17,32,1619.0,19.519334097999945,"[19 19 19 19 19 10  0 11 19  2  9 18 18  0  4 19 19  2  5  5 19  3 11 18
 19  0 17 17 11  9 10 14 19 19 19]",400,0.4,400,0.4
18,64,1698.0,37.389087204999896,"[18 19 19 19 19 12  0 18 18  3 19 19 16  0  5 19 19  0  0  2 19  0  6 19
 18  0 16 19 11 18 17 19 19 19 17]",400,0.4,400,0.4
19,128,1727.0,72.75140869999996,"[19 19 19 19 19 13  0 19 19  0 19 19 19  0  1 19 19  0  0  1 19  0 16 19
 19  0 19 17 11 18 18 19 19 19 19]",400,0.4,400,0.4
20,256,1732.0,142.79506367099998,"[19 19 19 19 19 14  0 19 19  0 19 19 19  0  0 19 19  0  0  1 19  0 16 19
 19  0 19 17 11 19 19 19 19 19 19]",400,0.4,400,0.4
21,512,1734.0,306.372801512,"[19 19 19 19 19 14  0 19 19  0 19 19 19  0  0 19 19  0  0  0 19  0 19 19
 19  0 19 17 11 19 19 19 19 19 19]",400,0.4,400,0.4
22,1024,1734.0,701.608701372,"[19 19 19 19 19 14  0 19 19  0 19 19 19  0  0 19 19  0  0  0 19  0 19 19
 19  0 19 17 11 19 19 19 19 19 19]",400,0.4,400,0.4
23,2048,1734.0,1038.7550291,"[19 19 19 19 19 14  0 19 19  0 19 19 19  0  0 19 19  0  0  0 19  0 19 19
 19  0 19 17 11 19 19 19 19 19 19]",400,0.4,400,0.4
24,0,1150.0,0.27823236800031736,"[ 2  6  6 16  9  0 10 14 17  0 14 18  0  8  0 16  3  9  6 16 16  6 19 11
  5  9  4  9 13 19  9 15 19 19 16]",400,0.6,400,0.6
25,2,1346.0,1.3604474329999903,"[19 15 18 14 10  8  5  6 16  1 13  6 11  1  0 19  3 11  9 17 17 13 17 18
 10  1 18  8 19 13 15  6 19 17 19]",400,0.6,400,0.6
26,4,1396.0,2.4275239200001124,"[18 18  1 18 18 19  1 15 17 10  3 18  9 19 11  6 18  5 12  7 15 10  3 17
 13 12  3 16 14  5 19 13 12 19  9]",400,0.6,400,0.6
27,8,1440.0,4.532320029999937,"[15  9 14 18 16 15  0  0 17 10 10 17 15 14  6 15 18 17 17  2 15 14 13 17
 13 17 13  1  1 16 18 17 17 18  6]",400,0.6,400,0.6
28,16,1522.0,10.114367695000055,"[17 16 17 18 18 17  2 15 14  7  6 18 17  9 17 18 18 13  3  2  8  0 19 18
 11 12  6 14  4 13 18 15 17 16 16]",400,0.6,400,0.6
