,Iteration,Fitness,Time,State,pop_size,keep_pct,Population Size,Keep Percent
0,0,909.0,0.25725673499982804,"[ 5  4  8 15 11  3  8  3 19  6  8  7  3  6 10  7  9 16  1  5 14 11 10  0
 10 11  4 13  6 10 14  8  9  2  7]",300,0.1,300,0.1
1,1,1387.0,8.487454401999912,"[ 9. 17. 19. 19. 19. 11. 16.  7. 14. 14.  2. 13. 19. 18.  0. 10.  8. 12.
 16.  5.  0. 18.  2.  6. 17.  7. 14.  6. 19. 14.  1. 10. 18.  5. 15.]",300,0.1,300,0.1
2,2,1461.0,16.25605386899997,"[ 9. 17. 19. 19. 14. 11. 10.  7. 14. 14.  2. 16. 19. 19.  0. 10. 14. 12.
 19. 11. 13. 19.  2.  6.  9.  7.  8.  6. 10. 11.  7. 18. 18.  5. 15.]",300,0.1,300,0.1
3,4,1493.0,31.54750852899997,"[ 9. 19. 19. 19.  3. 11. 10.  7. 14. 14.  5. 11. 13. 19. 18.  8. 14. 12.
 16. 11.  0. 19.  2. 18. 17.  8. 16.  6. 19. 11.  7. 18. 17.  8. 15.]",300,0.1,300,0.1
4,8,1500.0,62.70696868599998,"[ 9. 19. 19. 19. 17. 11. 10.  7. 14. 14.  5.  4. 13. 19. 18.  8. 14. 12.
 16. 11.  0. 19.  2. 18. 17.  8. 16.  6. 19. 11.  7. 18. 10.  8. 15.]",300,0.1,300,0.1
5,16,1500.0,124.4750310899999,"[ 9. 19. 19. 19. 17. 11. 10.  7. 14. 14.  5.  4. 13. 19. 18.  8. 14. 12.
 16. 11.  0. 19.  2. 18. 17.  8. 16.  6. 19. 11.  7. 18. 10.  8. 15.]",300,0.1,300,0.1
6,32,1500.0,247.24160131999997,"[ 9. 19. 19. 19. 17. 11. 10.  7. 14. 14.  5.  4. 13. 19. 18.  8. 14. 12.
 16. 11.  0. 19.  2. 18. 17.  8. 16.  6. 19. 11.  7. 18. 10.  8. 15.]",300,0.1,300,0.1
7,64,1500.0,516.3586558509996,"[ 9. 19. 19. 19. 17. 11. 10.  7. 14. 14.  5.  4. 13. 19. 18.  8. 14. 12.
 16. 11.  0. 19.  2. 18. 17.  8. 16.  6. 19. 11.  7. 18. 10.  8. 15.]",300,0.1,300,0.1
8,128,1500.0,1164.085116568,"[ 9. 19. 19. 19. 17. 11. 10.  7. 14. 14.  5.  4. 13. 19. 18.  8. 14. 12.
 16. 11.  0. 19.  2. 18. 17.  8. 16.  6. 19. 11.  7. 18. 10.  8. 15.]",300,0.1,300,0.1
9,256,1500.0,2171.7533409459998,"[ 9. 19. 19. 19. 17. 11. 10.  7. 14. 14.  5.  4. 13. 19. 18.  8. 14. 12.
 16. 11.  0. 19.  2. 18. 17.  8. 16.  6. 19. 11.  7. 18. 10.  8. 15.]",300,0.1,300,0.1
10,512,1500.0,4200.986540872,"[ 9. 19. 19. 19. 17. 11. 10.  7. 14. 14.  5.  4. 13. 19. 18.  8. 14. 12.
 16. 11.  0. 19.  2. 18. 17.  8. 16.  6. 19. 11.  7. 18. 10.  8. 15.]",300,0.1,300,0.1
11,1024,1500.0,8419.867801319,"[ 9. 19. 19. 19. 17. 11. 10.  7. 14. 14.  5.  4. 13. 19. 18.  8. 14. 12.
 16. 11.  0. 19.  2. 18. 17.  8. 16.  6. 19. 11.  7. 18. 10.  8. 15.]",300,0.1,300,0.1
12,2048,1500.0,8419.867801319,"[ 9. 19. 19. 19. 17. 11. 10.  7. 14. 14.  5.  4. 13. 19. 18.  8. 14. 12.
 16. 11.  0. 19.  2. 18. 17.  8. 16.  6. 19. 11.  7. 18. 10.  8. 15.]",300,0.1,300,0.1
13,4096,1500.0,8419.867801319,"[ 9. 19. 19. 19. 17. 11. 10.  7. 14. 14.  5.  4. 13. 19. 18.  8. 14. 12.
 16. 11.  0. 19.  2. 18. 17.  8. 16.  6. 19. 11.  7. 18. 10.  8. 15.]",300,0.1,300,0.1
14,0,1080.0,0.2668924980007432,"[ 1 13  0 10 13 10 10 19 11 10  6  4 13  5 12  8  6  2  7 17  5 18 17 13
 17  3 17  3 12 11 18 17  5  1  5]",300,0.25,300,0.25
15,1,1467.0,10.350509190999219,"[13. 12.  7. 19.  7. 11. 13.  7. 13. 17.  8.  4. 18. 10. 13. 19. 16.  8.
 16. 17. 12. 14.  8. 10. 16.  1.  5.  3. 10. 14. 10. 19. 18.  3. 14.]",300,0.25,300,0.25
16,2,1503.0,20.413198999000087,"[19. 19. 19. 17.  4. 10. 18.  1.  5.  5. 14. 13.  7. 19. 15. 14. 18. 14.
  4. 13. 18.  4.  2. 11. 17. 12. 19. 10. 13. 10. 15. 16. 18. 14. 19.]",300,0.25,300,0.25
17,4,1547.0,40.180011881999235,"[13. 17. 19. 18.  8. 16. 18.  0. 14. 18.  8.  1. 16. 18. 13. 19. 13.  0.
 16. 12.  8. 14.  8. 18. 17. 13. 15. 12. 19. 14.  0. 13. 18.  0. 14.]",300,0.25,300,0.25
18,8,1573.0,79.31677583000055,"[19. 19. 14. 16.  3. 16. 11.  1.  2. 18. 15.  2.  7. 16. 14. 19. 18.  2.
  8. 18. 19. 19. 12.  5. 18.  3. 19.  7. 19. 16. 17. 16. 18. 14. 16.]",300,0.25,300,0.25
19,16,1575.0,155.87249126499955,"[19. 17. 19. 18.  8. 14. 18.  0. 14. 18.  8.  1. 16. 18. 13. 19. 17.  0.
 15. 12.  8. 16.  8. 18. 19. 17. 15. 12. 19. 14.  0. 13.  3.  6. 18.]",300,0.25,300,0.25
20,32,1575.0,307.0752469559993,"[19. 17. 19. 18.  8. 14. 18.  0. 14. 18.  8.  1. 16. 18. 13. 19. 17.  0.
 15. 12.  8. 16.  8. 18. 19. 17. 15. 12. 19. 14.  0. 13.  3.  6. 18.]",300,0.25,300,0.25
21,64,1657.0,608.0268971679998,"[19. 19. 19. 18.  3. 16. 18.  0.  2. 18.  8.  1. 16. 18. 14. 19. 18.  0.
  8. 18. 19. 19.  8.  5. 19. 14. 15. 12. 19. 14.  0. 16. 18.  6. 18.]",300,0.25,300,0.25
