,Iterations,Fitness,Time,State,runner_name,current_restart,Restarts
0,2,32350.0,0.002744780999999641,"[ 4 15 16 21 16  7 24 17  9 22 16 18 16  3 19 23 23 18 19  7 20 23  7  5
 18 10  0 21  3  5 18 24 10  5 11  6 17  9 14 18  5  4 12 23 16 15 17  4
  9 22 17  8 15 16  8  6  4  6 20  0  2  4  7  5  6 20 15 10 14  1 20 20
  2 20  4 18 22 14 21  5 21  2  4  4 20 22  8 16 16  1 12 24  5 11 19  7
 14 23 15  9]",RHC,0,0
1,4,32999.0,0.015551432999999726,"[ 4 15 16 21 16  7 24 17  9 22 16 18 16  3 19 23 23 18 19  7 20 23  7  5
 18 10  0 21  3  5 18 24 10  5 11  6 17  9 14 18  5  4 12 23 16 15 17 21
  9 22 17  8 15 16  8  6  4  6 20  0  2  4  7  5  6 20 15 10 14  1 20 20
  2 20  4 18 22 14 21  5 21  2 20  4 20 22  8 16 16  1 12 24  5 11 19  7
 14 23 15  9]",RHC,0,0
2,8,33882.0,0.029072149999999297,"[ 4 15 16 21 16  7 24 17  9 22 16 18 16  3 19 23 23 18 19  7 20 23  7  5
 18 10  0 21  3  5 18 24 10  5 11  6 17  9 14 18  5  4 12 23 16 15 17 21
  9 22 17  8 15 16  8 21  4  6 20  0  2  4  7  5  6 20 15 10 14  1 20 20
  2 20  4 18 22 14 21 10 21  2 23  4 20 22  8 16 16  1 12 24  5 11 19  7
 14 23 15  9]",RHC,0,0
3,16,34698.0,0.04285384800000003,"[ 4 15 16 21 16  7 24 17  9 22 16 18 16  3 19 23 23 18 19  7 20 23  7  5
 18 10  0 21  3  5 18 24 20  5 11  6 17  9 14 18  5  4 12 23 16 15 17 21
  9 22 17  8 15 16  8 21  4  6 20  0  2  4  7  9 21 20 15 10 14  1 20 20
  2 20  4 18 22 14 21 10 21  2 23  4 20 22  8 16 16  1 12 24  5 11 19  7
 14 23 15  9]",RHC,0,0
4,32,35549.0,0.0655937849999999,"[ 4 15 16 21 16  9 24 17  9 22 16 18 16  3 19 23 23 18 19 20 20 23  7  5
 18 10  2 21  3  5 18 24 20  5 11  6 17  9 14 18  5  4 12 23 16 15 17 21
  9 22 17  8 15 16  8 21  4  6 20  0  2  4  7  9 21 20 15 10 14  1 20 20
  2 20  4 18 22 14 21 10 21  2 23  4 20 22 19 16 16  1 12 24  5 11 19  7
 14 23 15  9]",RHC,0,0
5,64,38056.0,0.11183163999999923,"[ 4 15 16 21 16  9 24 17  9 22 16 18 16  3 21 23 23 18 19 20 20 23  7  5
 18 10  2 22  3  5 18 24 20  5 11  6 24 22 14 18  5  4 12 23 16 15 17 21
  9 22 17  8 15 16 21 21  4  6 20  0 16  4  7  9 21 20 15 10 14 23 20 20
  2 20  4 18 22 14 21 10 21 19 23  4 20 22 19 16 16  1 12 24  5 11 19  7
 14 23 15  9]",RHC,0,0
6,128,38095.0,0.17417614499999967,"[ 4 15 16 21 16  9 24 17  9 22 16 19 16  3 21 23 23 18 19 20 20 23  7  5
 18 12  2 22  3  5 18 24 20  5 11  6 24 22 14 18  5  4 12 23 16 15 17 21
  9 22 17  8 15 16 21 21  4  6 20  0 16  4  7  9 21 20 15 10 14 23 20 20
  2 20  4 18 22 14 21 10 21 19 23  4 20 22 19 16 16  1 12 24  5 11 19  7
 14 23 15  9]",RHC,0,0
7,256,38114.0,0.2861118779999998,"[ 4 15 16 21 16  9 24 18  9 22 16 19 16  3 21 23 23 18 19 20 20 23  7  5
 18 12  2 22  3  5 18 24 20  5 11  6 24 22 14 18  5  4 12 23 16 15 17 21
  9 22 17  8 15 16 21 21  4  6 20  0 16  4  7  9 21 20 15 10 14 23 20 20
  2 20  4 18 22 14 21 10 21 19 23  4 20 22 19 16 16  1 12 24  5 11 19  7
 14 23 16  9]",RHC,0,0
8,512,38114.0,0.5336369189999992,"[ 4 15 16 21 16  9 24 18  9 22 16 19 16  3 21 23 23 18 19 20 20 23  7  5
 18 12  2 22  3  5 18 24 20  5 11  6 24 22 14 18  5  4 12 23 16 15 17 21
  9 22 17  8 15 16 21 21  4  6 20  0 16  4  7  9 21 20 15 10 14 23 20 20
  2 20  4 18 22 14 21 10 21 19 23  4 20 22 19 16 16  1 12 24  5 11 19  7
 14 23 16  9]",RHC,0,0
9,1024,38114.0,0.9636345259999999,"[ 4 15 16 21 16  9 24 18  9 22 16 19 16  3 21 23 23 18 19 20 20 23  7  5
 18 12  2 22  3  5 18 24 20  5 11  6 24 22 14 18  5  4 12 23 16 15 17 21
  9 22 17  8 15 16 21 21  4  6 20  0 16  4  7  9 21 20 15 10 14 23 20 20
  2 20  4 18 22 14 21 10 21 19 23  4 20 22 19 16 16  1 12 24  5 11 19  7
 14 23 16  9]",RHC,0,0
