,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value
0,0,795.0,13.462350138999998,"[14  4  5 13 12 18  5 13 18 15 16  7  9  0  9  0  5  1  4  6 10  7  1  6
  7  5  8 18  9  6  0 10  2  6 18]",1,2048,1,geometric,1,0.99,0.001,0.8734528402513473
1,1,795.0,13.475918322999998,"[14  4  5 13 12 18  5 13 18 15 16  7  9  0  9  0  5  1  4  6 10  7  1  6
  7  5  8 18  9  6  0 10  2  6 18]",1,2048,1,geometric,1,0.99,0.001,0.8733337401448455
2,2,819.0,13.484743317,"[14  4  5 13 12 18  5 13 18 15 16  7  9  0  9  0  5  1  4  6 10  7  1  6
  7  5  8 18  9  6  0 10 10  6 18]",1,2048,1,geometric,1,0.99,0.001,0.8732562839829537
3,4,819.0,13.493360550000002,"[14  4  5 13 12 18  5 13 18 15 16  7  9  0  9  0  5  1  4  6 10  7  1  6
  7  5  8 18  9  6  0 10 10  6 18]",1,2048,1,geometric,1,0.99,0.001,0.8731806579492016
4,8,823.0,13.503860159000002,"[14  4  5 13 12 18  5 13 18 15 16  7  9  0  9  0  5  1  4  6 10 11  1  6
  7  5  8 18  9  6  0 10 10  6 18]",1,2048,1,geometric,1,0.99,0.001,0.8730885207738097
5,16,972.0,13.521697980000003,"[17  4  5 19 12 18 19 13 18 15 16  7  9  0  9  0  5  1  4 17 10 11  1  6
  7  5  8 18  9 14  0 10 10  6 18]",1,2048,1,geometric,1,0.99,0.001,0.8729320109055416
6,32,1229.0,13.552264269000002,"[17 12 10 19 12 18 19 13 18 15 16  7  9  0  9  9 11 15 17 17 19 11  1  6
  7  5  8 18  9 14 13 11 10  6 18]",1,2048,1,geometric,1,0.99,0.001,0.8726638860946441
7,64,1263.0,13.599442184,"[17 12 10 19 12 18 19 13 18 15 16 13  9  0  9  9 11 15 17 17 19 11  1  6
  7  5  8 18  9 14 13 11 10  7 18]",1,2048,1,geometric,1,0.99,0.001,0.8722502071993297
8,128,1263.0,13.722554053999996,"[17 12 10 19 12 18 19 13 18 15 16 13  9  0  9  9 11 15 17 17 19 11  1  6
  7  5  8 18  9 14 13 11 10  7 18]",1,2048,1,geometric,1,0.99,0.001,0.8711716257854819
9,256,1270.0,14.085662914,"[17 12 10 19 12 18 19 13 18 15 17 13  9  0 10  9 11 15 17 17 19 11  1  6
  7  5  8 18  9 14 13 11 10  7 18]",1,2048,1,geometric,1,0.99,0.001,0.8679981957049245
10,512,1270.0,14.609308998999996,"[17 12 10 19 12 18 19 13 18 15 17 13  9  0 10  9 11 15 17 17 19 11  1  6
  7  5  8 18  9 14 13 11 10  7 18]",1,2048,1,geometric,1,0.99,0.001,0.8634420778169082
11,1024,1270.0,14.890615018999998,"[17 12 10 19 12 18 19 13 18 15 17 13  9  0 10  9 11 15 17 17 19 11  1  6
  7  5  8 18  9 14 13 11 10  7 18]",1,2048,1,geometric,1,0.99,0.001,0.8610043846952194
12,2048,1270.0,14.890615018999998,"[17 12 10 19 12 18 19 13 18 15 17 13  9  0 10  9 11 15 17 17 19 11  1  6
  7  5  8 18  9 14 13 11 10  7 18]",1,2048,1,geometric,1,0.99,0.001,0.8610043846952194
13,0,967.0,0.0010919039999990332,"[ 2  4 19 10 15 15 10 15 12 13 11  7 13 12  7 12  1 13  5 18  3  5  6 17
  3  7  4 10 16  0 16  3  9  7 15]",10,2048,10,geometric,10,0.99,0.001,9.999890260582943
14,1,967.0,0.016928362000001584,"[ 2  4 19 10 15 15 10 15 12 13 11  7 13 12  7 12  1 13  5 18  3  5  6 17
  3  7  4 10 16  0 16  3  9  7 15]",10,2048,10,geometric,10,0.99,0.001,9.998298787487117
15,2,967.0,0.023703136000001734,"[ 2  4 19 10 15 15 10 15 12 13 11  7 13 12  7 12  1 13  5 18  3  5  6 17
  3  7  4 10 16  0 16  3  9  7 15]",10,2048,10,geometric,10,0.99,0.001,9.997618038956166
16,4,954.0,0.05953978899999868,"[ 2  4 19 10 15 15 10 15 12 13 11  7 13 12  7  4  1 13  5 18  3  5  6 17
  4  7  4 10 16  0 16  3  9  7 15]",10,2048,10,geometric,10,0.99,0.001,9.994017841264109
17,8,968.0,0.08380521699999832,"[ 2  4 19 10 15 15 10 15 12 13 11  7 13 12  7  4  8 13  5 18  3  5  6 17
  4  7  4 10 16  0 16  3  9  7 15]",10,2048,10,geometric,10,0.99,0.001,9.991580840331707
18,16,1023.0,0.11599164900000147,"[ 2  4 19 10 15 15 10 15 12 14 11  7 13 18  7  4  8 13 13 18  3  5  6 17
  4  7  4 10 16  0 16  3  9  7 14]",10,2048,10,geometric,10,0.99,0.001,9.988349241997783
19,32,1064.0,0.15803938900000247,"[ 2  4 19 10 15 15 10 15 12 15 11  7 18 18  7  4  8 13 13 18  3  5  6 17
  4  7 16 18 13  0 16  3  9  7 15]",10,2048,10,geometric,10,0.99,0.001,9.98412911821045
20,64,1259.0,0.20920967699999693,"[ 2 16 17 10 15 15 15 15 12 15 11  7 18 18 17  4  8 18 13 18  9  5  6 17
  4  7 16 18 13 13 16  3 18  7  1]",10,2048,10,geometric,10,0.99,0.001,9.978995814550997
21,128,1314.0,0.4065441619999959,"[ 2 16 17 10 15 15 15 15 12 15 15 13 18 18 16  4  3 18 14 18  9  3  6 16
  8  7 16 18 18 13 16  3 16 11  1]",10,2048,10,geometric,10,0.99,0.001,9.95922430586784
22,256,1317.0,0.6973022669999978,"[ 2 16 17 10 15 15 15 15 12 15 17 13 18 18 16  4  3 18 14 18  9  1  6 16
  8  7 16 18 17 13 16  3 16 11  1]",10,2048,10,geometric,10,0.99,0.001,9.930163776465287
23,512,1321.0,1.39731776,"[ 2 16 17 10 15 15 15 15 12 15 17 13 18 18 16  4  3 18 14 18  9  1  6 16
  8  8 16 18 17 13 16  3 16 11  1]",10,2048,10,geometric,10,0.99,0.001,9.860546373488326
24,1024,1321.0,1.9742870369999963,"[ 2 16 17 10 15 15 15 15 12 15 17 13 18 18 16  4  3 18 14 18  9  1  6 16
  8  8 16 18 17 13 16  3 16 11  1]",10,2048,10,geometric,10,0.99,0.001,9.803533140078402
25,2048,1321.0,1.9742870369999963,"[ 2 16 17 10 15 15 15 15 12 15 17 13 18 18 16  4  3 18 14 18  9  1  6 16
  8  8 16 18 17 13 16  3 16 11  1]",10,2048,10,geometric,10,0.99,0.001,9.803533140078402
26,0,973.0,0.0010567169999973203,"[ 9 18 16  7  0  7  1 12 16 10  5  8  2 17 13 10 16  3 18  0  7 13  3 18
  3  6  3 17  4 16 16  9 11  3 11]",50,2048,50,geometric,50,0.99,0.001,49.99946898478218
27,1,966.0,0.028123962999998753,"[ 9 18 16  7  0  7  1 12 16 10  5  8  2 17 13 10 16  3 18  0  7 13  3 18
  3  6  3 17  4 16 16  9 11  3  4]",50,2048,50,geometric,50,0.99,0.001,49.98586923347785
28,2,933.0,0.0368306849999982,"[ 9 18 16  7  0  7  1 12 16 10  5  8  2 17 13 10 16  3  7  0  7 13  3 18
  3  6  3 17  4 16 16  9 11  3  4]",50,2048,50,geometric,50,0.99,0.001,49.981495387353746
29,4,917.0,0.06407752999999872,"[ 5 16 16  7  0  7  1 12 16 10  5  8  2 17 13 10 16  3  7  0  7 13  3 18
  3  6  3 17  4 16 16  9 11  3  4]",50,2048,50,geometric,50,0.99,0.001,49.96781033133891
30,8,911.0,0.08002908899999994,"[ 5 10 16  7  0  7  1 12 17 10  5  8  2 17 13 10 16  3  7  6  7 13  3 18
  3  6  3 17  4 16 16  8 11  3  4]",50,2048,50,geometric,50,0.99,0.001,49.95980020777503
31,16,931.0,0.13701493699999645,"[ 5 10 16  7  0  7  1 10 17 10  9  8  2 17 19 10 16  3  7  6  7 13  3 18
  3  6 10 13  4 16 16  8 10  3  4]",50,2048,50,geometric,50,0.99,0.001,49.931195077958776
32,32,978.0,0.1940868430000009,"[ 5 10 16  7 14 11  1 10 17 10  9  8  2 17 19 10 18  3  7 14  2 13  3 18
  3  6 10 13  4  0 16  8 13  3 18]",50,2048,50,geometric,50,0.99,0.001,49.90256316504504
33,64,1214.0,0.30888976600000007,"[17 11 16  7 14 11  1 19 19  3  9  8  6 17 19 18 18  3  7 15  8 13 15 15
  4 18 16 13  4  0 16  8 18  7 18]",50,2048,50,geometric,50,0.99,0.001,49.845018395972026
34,128,1280.0,0.4651597659999993,"[ 2 11  9  7 14 15  1 19 16 19  9 15  3 17 19 16 15 14 17 16  8 12 10 13
 12 18 18  8  4  0 16 14 14  7 15]",50,2048,50,geometric,50,0.99,0.001,49.76679494923772
35,256,1298.0,0.8722487409999999,"[ 3 11 11  5 13 14  2 17 13 18 16 15  0 18 18 14 15 14 18 16  8 13  8 17
 15 18 14  8 14  3 16 14 17  6 14]",50,2048,50,geometric,50,0.99,0.001,49.56359599948805
36,512,1320.0,1.5852267429999998,"[ 4 11 11  5 13 14  4 17 15 18 16 15  0 18 18 14 14 14 18 16  8 11  8 17
 15 18 14  8 14  6 16 15 17  6 12]",50,2048,50,geometric,50,0.99,0.001,49.2097091392079
37,1024,1320.0,2.7055378989999994,"[ 4 11 11  5 13 14  4 17 15 18 16 15  0 18 18 14 14 14 18 16  8 11  8 17
 15 18 14  8 14  6 16 15 17  6 12]",50,2048,50,geometric,50,0.99,0.001,48.658739893766956
38,2048,1320.0,2.7055378989999994,"[ 4 11 11  5 13 14  4 17 15 18 16 15  0 18 18 14 14 14 18 16  8 11  8 17
 15 18 14  8 14  6 16 15 17  6 12]",50,2048,50,geometric,50,0.99,0.001,48.658739893766956
39,0,1076.0,0.0009967000000017379,"[13  1  0 10 17 18 15 15 10  7  3  2 11 19  2  6 17 10  4 19  4 15 15  8
 16 16  2  6 18  1 13 18  2 15 13]",100,2048,100,geometric,100,0.99,0.001,99.99899828804266
40,1,1070.0,0.024391909999998518,"[13  1  0 10 17 18 15 15 10  7  3  2 11 19  2  6 17 10  4 19  4 15 15  8
 16 16  2  6 18  1 13 16  2 15 13]",100,2048,100,geometric,100,0.99,0.001,99.97548831584346
41,2,1066.0,0.048695157000004485,"[13  1  0 10 17 18 15 14 10  7  3  2 11 19  2  6 17 10  4 19  4 15 15  8
 16 16  2  6 18  1 13 16  2 15 13]",100,2048,100,geometric,100,0.99,0.001,99.95107170556695
42,4,1108.0,0.05788901600000429,"[13  1  0 10 17 18 15 14 10  7  3  2 11 19  2  6 17 10  4 19  4 15 15  8
 16 16  2  6 18 15 13 16  2 15 13]",100,2048,100,geometric,100,0.99,0.001,99.9418365162131
43,8,1116.0,0.07062615499999936,"[13  1  0  6 17 18 15 14 10  7  3  2 11 19 16  6 17 10  4 19  4 15 15  8
 16 16  2  6 18 15 13 16  2  8 13]",100,2048,100,geometric,100,0.99,0.001,99.92904352824006
44,16,1227.0,0.09317357200000487,"[13 10  0  6 17 18 15 14 10  1  3  2 11 19 16  6 17 11  4 19 11 15 15  8
 16 16 16  6 18 15 13 16 16  8 13]",100,2048,100,geometric,100,0.99,0.001,99.90640126184417
45,32,1142.0,0.12910756699999837,"[13 10  0  6 18 18 15  7 10  1  9  4 11 19  2  6 17 11  4 19 11  1  8 12
 16 16 16 10 18 15 13 16 12  8 18]",100,2048,100,geometric,100,0.99,0.001,99.87032670760931
46,64,1030.0,0.19426006999999856,"[13 12  0  1 18 18 15  7  8  6  9  4 11 11  1  6 13  5 17 19 11 19  2 12
 16 16 15  1 19  7 10 16 12  9 18]",100,2048,100,geometric,100,0.99,0.001,99.80495257056147
47,128,1258.0,0.38170208700000074,"[13 16  4 14  2 13 17  7  8 15 18 19  0  4 11 17  9 14 17 19 11 10 16 12
 16  8 15 15 15  7 11  8 13 16  3]",100,2048,100,geometric,100,0.99,0.001,99.61711147755432
48,256,1349.0,0.6493080950000021,"[11 18 16 12  0 12 11 11  1  9 18 19 10 17 16 13  3 11  2 19 14  9 14  7
 16 17 13 19 10  3 18 17 13 18  9]",100,2048,100,geometric,100,0.99,0.001,99.34954821317304
49,512,1383.0,1.3010263000000037,"[11 18 13 12  0 12 11 12  6  9 17 19 17 17 16 19  3 11  7 19 12  8 14  7
 16 17 13 19 18  0 18 17 13 18  9]",100,2048,100,geometric,100,0.99,0.001,98.70093649762134
50,1024,1383.0,1.9670119230000012,"[11 18 13 12  0 12 11 12  6  9 17 19 17 17 16 19  3 11  7 19 12  8 14  7
 16 17 13 19 18  0 18 17 13 18  9]",100,2048,100,geometric,100,0.99,0.001,98.04249974541308
51,2048,1383.0,1.9670119230000012,"[11 18 13 12  0 12 11 12  6  9 17 19 17 17 16 19  3 11  7 19 12  8 14  7
 16 17 13 19 18  0 18 17 13 18  9]",100,2048,100,geometric,100,0.99,0.001,98.04249974541308
52,0,997.0,0.0011027290000029666,"[ 2  9  6  0 15  5 18 16 11  4  3  4  9 16 16  6 12 12  8 13 10 17  2  8
  7  4  0 19 17  7 14 18 11  4  3]",250,2048,250,geometric,250,0.99,0.001,249.99722931615216
53,1,991.0,0.008012249000003635,"[ 2  9  6  0 15  5 18 16 11  4  3  4  3 16 16  6 12 12  8 13 10 17  2  8
  7  4  0 19 17  7 14 18 11  4  3]",250,2048,250,geometric,250,0.99,0.001,249.9798693621807
54,2,935.0,0.014832877000003464,"[ 2  9  6  0 15  5 18 16 11  4  3  4  3 16  2  6 12 12  8 13 10 17  2  8
  7  4  0 19 17  7 14 18 11  4  3]",250,2048,250,geometric,250,0.99,0.001,249.96273392891524
55,4,1001.0,0.037164513999996984,"[ 2 18  6  0 15  5 18 16 11  4  3 10  3 16  2  6 12 12  8 13 10 17  2  8
  7  4  0 19 17  7 14 18 11  4  3]",250,2048,250,geometric,250,0.99,0.001,249.90663847520693
56,8,1030.0,0.05460153599999984,"[ 2 18  6  0 15  5 18 16  4  4  3 10  3 16  2  6 12 12  8 13 10 17  2  6
  7  4  0 19 17  7 14 18 11 17  3]",250,2048,250,geometric,250,0.99,0.001,249.8628466920961
