,Iterations,Fitness,Time,State,runner_name,current_restart,Restarts
0,2,28.0,0.0036253790000002617,[13 10  7  8 13 13 13  5  7  5 11  1  6  0],RHC,0,0
1,4,24.0,0.008243263000000223,[13 10  7  8 13 13 13  9  7  5 11  1  6  0],RHC,0,0
2,8,22.0,0.014564545000000262,[ 7 10  7  8 13 13 13  9  7  5 11  1  6  0],RHC,0,0
3,16,16.0,0.02772790500000033,[ 7 10  1  8 13 13 13  9  0  5 11  1 12  0],RHC,0,0
4,32,8.0,0.05049473999999998,[ 7 10  0  8 13  4  3  9  0  5 11  1 12  2],RHC,0,0
5,64,8.0,0.08785746100000003,[ 7 10  0  8 13  4  3  9  0  5 11  1 12  2],RHC,0,0
6,128,8.0,0.1656648650000001,[ 7 10  0  8 13  4  3  9  0  5 11  1 12  2],RHC,0,0
7,256,6.0,0.32830688100000005,[ 7 12  0  8 13  4  3  9  0  5 11  1 12  2],RHC,0,0
8,512,4.0,0.6349241610000003,[ 7 12  0  8 13  4  3  9  0  5 11  1  6  2],RHC,0,0
9,1024,4.0,1.2524638270000001,[ 7 12  0  8 13  4  3  9  0  5 11  1  6  2],RHC,0,0
10,2048,4.0,2.5551993870000005,[ 7 12  0  8 13  4  3  9  0  5 11  1  6  2],RHC,0,0
11,2,28.0,0.004019613999999727,[13 10  7  8 13 13 13  5  7  5 11  1  6  0],RHC,0,5
12,4,24.0,0.008920590999999867,[13 10  7  8 13 13 13  9  7  5 11  1  6  0],RHC,0,5
13,8,22.0,0.015167950999999569,[ 7 10  7  8 13 13 13  9  7  5 11  1  6  0],RHC,0,5
14,16,16.0,0.02888265099999998,[ 7 10  1  8 13 13 13  9  0  5 11  1 12  0],RHC,0,5
15,32,8.0,0.053349675999999846,[ 7 10  0  8 13  4  3  9  0  5 11  1 12  2],RHC,0,5
16,64,8.0,0.09468296099999929,[ 7 10  0  8 13  4  3  9  0  5 11  1 12  2],RHC,0,5
17,128,8.0,0.17748454999999996,[ 7 10  0  8 13  4  3  9  0  5 11  1 12  2],RHC,0,5
18,256,6.0,0.3392650159999997,[ 7 12  0  8 13  4  3  9  0  5 11  1 12  2],RHC,0,5
19,512,4.0,0.6619518449999999,[ 7 12  0  8 13  4  3  9  0  5 11  1  6  2],RHC,0,5
20,1024,4.0,1.302258352,[ 7 12  0  8 13  4  3  9  0  5 11  1  6  2],RHC,0,5
21,2048,4.0,2.5800980230000006,[ 7 12  0  8 13  4  3  9  0  5 11  1  6  2],RHC,0,5
22,2,16.0,2.6157570409999993,[ 3  3 13 11  8  4  6 10  2  2  7  7  1  1],RHC,1,5
23,4,16.0,2.6198220759999993,[ 3  3 13 11  8  4  6 10  2  2  7  7  1  1],RHC,1,5
24,8,16.0,2.626292468,[ 3  3 13 11  8  4  6 10  2  2  7  7  1  1],RHC,1,5
25,16,16.0,2.6367390530000003,[ 3  3 13 11  8  4  6 10  2  2  7  7  1  1],RHC,1,5
26,32,16.0,2.6584869180000004,[ 3  3 13 11  8  4  6 10  2  2  7  7  1  1],RHC,1,5
27,64,12.0,2.708485704,[ 3  3 13 11  8  4  6 12  2  2  5  7  1  1],RHC,1,5
28,128,4.0,2.7913048839999997,[ 3  3  0 11  8  4  6 12  9  2  5  7  1 10],RHC,1,5
29,256,4.0,2.9583059149999995,[ 3  3  0 11  8  4  6 12  9  2  5  7  1 10],RHC,1,5
30,512,4.0,3.2814301949999996,[ 3  3  0 11  8  4  6 12  9  2  5  7  1 10],RHC,1,5
31,1024,4.0,3.9443415659999994,[ 3  3  0 11  8  4  6 12  9  2  5  7  1 10],RHC,1,5
32,2048,4.0,5.223526217999999,[ 3  3  0 11  8  4  6 12  9  2  5  7  1 10],RHC,1,5
33,2,28.0,5.255830282999999,[ 0  9  4 13  1  1 11  7  4  5  1  2 12  7],RHC,2,5
34,4,22.0,5.2611059760000005,[ 0  9 13 13  1  1 11  7  4  5  1  2 10  7],RHC,2,5
35,8,18.0,5.2677290690000005,[ 0  9 13 13  1  1 11  7  4  5  3  2 10  7],RHC,2,5
36,16,14.0,5.279824556,[ 0  9 13 13  1  0 11  6  4  5  3  2 10  7],RHC,2,5
37,32,10.0,5.302062429,[ 0  9 13 13  1  6 11  6  4  5  8  2 10  7],RHC,2,5
38,64,10.0,5.350830854999999,[ 0  9 13 13  1  6 11  6  4  5  8  2 10  7],RHC,2,5
39,128,8.0,5.434861779999999,[ 0  9 13 13  1  6 11  0  4  5  8  2 10  7],RHC,2,5
40,256,8.0,5.598488324999999,[ 0  9 13 13  1  6 11  0  4  5  8  2 10  7],RHC,2,5
41,512,4.0,5.9245092559999994,[ 0  9 13  5  1  6 11  0  4 12  8  2 10  7],RHC,2,5
42,1024,4.0,6.580987900999999,[ 0  9 13  5  1  6 11  0  4 12  8  2 10  7],RHC,2,5
43,2048,4.0,7.917460678,[ 0  9 13  5  1  6 11  0  4 12  8  2 10  7],RHC,2,5
44,2,30.0,7.953170137,[10 10  8  6 10  0  2  9 10  2  6 11  3 11],RHC,3,5
45,4,20.0,7.95871984,[12 13  8  6 10  0  2  9 10  2  6 11  3 11],RHC,3,5
46,8,20.0,7.965466350999999,[12 13  8  6 10  0  2  9 10  2  6 11  3 11],RHC,3,5
47,16,20.0,7.977766551999999,[12 13  8  6 10  0  2  9 10  2  6 11  3 11],RHC,3,5
48,32,16.0,8.002084055000001,[12  9  1  6 10  0  2  9 10  2  6 11  3 11],RHC,3,5
49,64,10.0,8.047397171,[12  9  1  4 10  0  2 13 10  2  6 11  3 11],RHC,3,5
50,128,6.0,8.146723732999998,[12  9  1  4 13  0  0 13 10  2  6 11  3 11],RHC,3,5
51,256,4.0,8.405223334999999,[12  9  1  4 13  0  0 13 10  2  6  8  3 11],RHC,3,5
52,512,2.0,8.757007250000001,[12  9  1  4 13  0  0  7 10  2  6  8  3 11],RHC,3,5
53,1024,2.0,9.451234670999998,[12  9  1  4 13  0  0  7 10  2  6  8  3 11],RHC,3,5
54,2048,2.0,10.850716767999998,[12  9  1  4 13  0  0  7 10  2  6  8  3 11],RHC,3,5
55,2,24.0,10.883512527,[11  9  0  1 11  7  7  6 10  8  5 11  9  5],RHC,4,5
56,4,24.0,10.886836309,[11  9  0  1 11  7  7  6 10  8  5 11  9  5],RHC,4,5
57,8,20.0,10.894113499,[11  9  0  1  8  7  7  6  1  8  5 11  9  5],RHC,4,5
58,16,18.0,10.905068448999998,[11  9  0  1 13  7  7  6  1  8  5 11  9  5],RHC,4,5
59,32,16.0,10.925413874,[11  9  0  3 13  7  7  6  1  8  5 11  9  5],RHC,4,5
