,Iterations,Fitness,Time,State,runner_name,keep_pct,Keep Percent
0,1,18.0,3.1489717790000213,[ 2. 11. 12.  6. 10.  5. 17. 15.  5.  1. 14.  7.  7. 12. 15.  4. 10.  3.],MIMIC,0.1,0.1
1,2,14.0,5.723603211999944,[ 2. 11.  0.  6. 10.  5. 17. 15.  5.  1. 14.  7.  7. 12. 15.  4. 10.  3.],MIMIC,0.1,0.1
2,4,14.0,10.873026707000008,[ 2. 11.  0.  6. 10.  5. 17. 15.  5.  1. 14.  7.  7. 12. 15.  4. 10.  3.],MIMIC,0.1,0.1
3,8,14.0,20.968064891999802,[ 2. 11.  0.  6. 10.  5. 17. 15.  5.  1. 14.  7.  7. 12. 15.  4. 10.  3.],MIMIC,0.1,0.1
4,16,14.0,41.78414087700003,[ 2. 11.  0.  6. 10.  5. 17. 15.  5.  1. 14.  7.  7. 12. 15.  4. 10.  3.],MIMIC,0.1,0.1
5,32,14.0,81.54388467799981,[ 2. 11.  0.  6. 10.  5. 17. 15.  5.  1. 14.  7.  7. 12. 15.  4. 10.  3.],MIMIC,0.1,0.1
6,64,14.0,154.93426645099998,[ 2. 11.  0.  6. 10.  5. 17. 15.  5.  1. 14.  7.  7. 12. 15.  4. 10.  3.],MIMIC,0.1,0.1
7,128,14.0,302.06724988199994,[ 2. 11.  0.  6. 10.  5. 17. 15.  5.  1. 14.  7.  7. 12. 15.  4. 10.  3.],MIMIC,0.1,0.1
8,256,14.0,602.8828232440001,[ 2. 11.  0.  6. 10.  5. 17. 15.  5.  1. 14.  7.  7. 12. 15.  4. 10.  3.],MIMIC,0.1,0.1
9,512,14.0,1247.6560553669997,[ 2. 11.  0.  6. 10.  5. 17. 15.  5.  1. 14.  7.  7. 12. 15.  4. 10.  3.],MIMIC,0.1,0.1
10,1024,14.0,2072.866574363,[ 2. 11.  0.  6. 10.  5. 17. 15.  5.  1. 14.  7.  7. 12. 15.  4. 10.  3.],MIMIC,0.1,0.1
11,2048,14.0,2072.866574363,[ 2. 11.  0.  6. 10.  5. 17. 15.  5.  1. 14.  7.  7. 12. 15.  4. 10.  3.],MIMIC,0.1,0.1
12,1,18.0,2.0338806319996365,[ 6. 17. 14.  1. 14. 12.  1. 12.  7.  4. 10. 16.  0. 11. 15.  8.  9.  4.],MIMIC,0.25,0.25
13,2,18.0,3.7374150139994526,[ 6. 17. 14.  1. 14. 12.  1. 12.  7.  4. 10. 16.  0. 11. 15.  8.  9.  4.],MIMIC,0.25,0.25
14,4,14.0,9.178666568999688,[11. 15.  6. 11. 16. 14.  7.  2.  3. 12. 15.  5. 10.  4.  1.  0.  8. 10.],MIMIC,0.25,0.25
15,8,14.0,16.125295711000035,[11. 15.  6. 11. 16. 14.  7.  2.  3. 12. 15.  5. 10.  4.  1.  0.  8. 10.],MIMIC,0.25,0.25
16,16,14.0,29.230080497000017,[11. 15.  6. 11. 16. 14.  7.  2.  3. 12. 15.  5. 10.  4.  1.  0.  8. 10.],MIMIC,0.25,0.25
17,32,14.0,54.949213443999724,[11. 15.  6. 11. 16. 14.  7.  2.  3. 12. 15.  5. 10.  4.  1.  0.  8. 10.],MIMIC,0.25,0.25
18,64,14.0,106.52569415699963,[11. 15.  6. 11. 16. 14.  7.  2.  3. 12. 15.  5. 10.  4.  1.  0.  8. 10.],MIMIC,0.25,0.25
19,128,14.0,209.28655579299993,[11. 15.  6. 11. 16. 14.  7.  2.  3. 12. 15.  5. 10.  4.  1.  0.  8. 10.],MIMIC,0.25,0.25
20,256,14.0,435.7940491089994,[11. 15.  6. 11. 16. 14.  7.  2.  3. 12. 15.  5. 10.  4.  1.  0.  8. 10.],MIMIC,0.25,0.25
21,512,14.0,880.3089005969996,[11. 15.  6. 11. 16. 14.  7.  2.  3. 12. 15.  5. 10.  4.  1.  0.  8. 10.],MIMIC,0.25,0.25
22,1024,14.0,1718.47246852,[11. 15.  6. 11. 16. 14.  7.  2.  3. 12. 15.  5. 10.  4.  1.  0.  8. 10.],MIMIC,0.25,0.25
23,2048,14.0,1718.47246852,[11. 15.  6. 11. 16. 14.  7.  2.  3. 12. 15.  5. 10.  4.  1.  0.  8. 10.],MIMIC,0.25,0.25
24,1,16.0,2.290313903000424,[15.  8.  1.  5.  0.  8. 15.  9.  3. 14.  0.  9. 12.  4. 16.  3. 13. 10.],MIMIC,0.5,0.5
25,2,16.0,4.030552567000086,[15.  8.  1.  5.  0.  8. 15.  9.  3. 14.  0.  9. 12.  4. 16.  3. 13. 10.],MIMIC,0.5,0.5
26,4,16.0,7.475254443000267,[15.  8.  1.  5.  0.  8. 15.  9.  3. 14.  0.  9. 12.  4. 16.  3. 13. 10.],MIMIC,0.5,0.5
27,8,14.0,14.56832813300025,[ 1.  8. 10.  1.  0.  8. 15.  9.  3. 14. 14.  3. 12.  2. 16.  5. 13. 11.],MIMIC,0.5,0.5
28,16,12.0,28.895876207000583,[ 6.  8. 10.  1.  0.  8. 15.  9.  3. 14.  0.  3. 12.  4. 16.  5. 13. 11.],MIMIC,0.5,0.5
29,32,12.0,58.50959622700066,[ 6.  8. 10.  1.  0.  8. 15.  9.  3. 14.  0.  3. 12.  4. 16.  5. 13. 11.],MIMIC,0.5,0.5
30,64,12.0,118.98155059700002,[ 6.  8. 10.  1.  0.  8. 15.  9.  3. 14.  0.  3. 12.  4. 16.  5. 13. 11.],MIMIC,0.5,0.5
31,128,12.0,231.94756416200016,[ 6.  8. 10.  1.  0.  8. 15.  9.  3. 14.  0.  3. 12.  4. 16.  5. 13. 11.],MIMIC,0.5,0.5
32,256,12.0,470.9033012350001,[ 6.  8. 10.  1.  0.  8. 15.  9.  3. 14.  0.  3. 12.  4. 16.  5. 13. 11.],MIMIC,0.5,0.5
33,512,12.0,920.8226936170004,[ 6.  8. 10.  1.  0.  8. 15.  9.  3. 14.  0.  3. 12.  4. 16.  5. 13. 11.],MIMIC,0.5,0.5
34,1024,12.0,1699.4647238690004,[ 6.  8. 10.  1.  0.  8. 15.  9.  3. 14.  0.  3. 12.  4. 16.  5. 13. 11.],MIMIC,0.5,0.5
