,Iterations,Fitness,Time,State,runner_name,schedule,Temperature
0,1,22.0,0.0034109969999995826,[15 17 15  6 16 13  4  7 12  7  1 14 17  9 10  2  3  6],SA,1,1
1,2,22.0,0.007283967999999419,[15 17 15  6 16 13  4  7 12  7  1 14 17  9 10  2  3  6],SA,1,1
2,4,22.0,0.01145600299999927,[15 17 15  6 16 13  4  7 12  7  1 14 17  9 10  2  3  6],SA,1,1
3,8,22.0,0.021593510999999843,[15 17  8  6 16 13  4  7 12  7  1 16 17  9 10  2  3  9],SA,1,1
4,16,16.0,0.03734570700000006,[15 14  8  6 16 13  4  7 12  7  1 16 11 15 10  2  3  9],SA,1,1
5,32,16.0,0.06999353299999989,[15  2 14  6 16 13  4  0 12 12  1 16 11 15 10  2  3  9],SA,1,1
6,64,12.0,0.12592744499999942,[ 6  1 14 17  1 13  4  0 12 12  7 16 11 15 10  2  3  9],SA,1,1
7,128,8.0,0.2399059329999993,[17 10 14  9  1 13  4  8  2 12  3 16 11  7  0 17  3  5],SA,1,1
8,256,4.0,0.4399929189999998,[17 10  6  9 14 13  1  8  2 12  3 16 11 15  6  4  0  5],SA,1,1
9,512,4.0,0.8418043690000001,[14 10  7  9 16 13  1  8  2 12 17 15 11 15  6  4  0  5],SA,1,1
10,1024,4.0,1.647566738,[14 10 15  3  9 13  2  8  1 12 16  1 11 15  6  4  0  5],SA,1,1
11,2048,2.0,3.2361118379999994,[14  4  0  7  9 13  3  8 17 11  1  5 11  6 10  2 16 12],SA,1,1
12,4096,2.0,6.449096653,[11  4  1  7  9 13 15  8 14 11 17  5  0  6 10  2 16 12],SA,1,1
13,1,26.0,0.0038012949999988166,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3  6],SA,10,10
14,2,30.0,0.0076560629999988805,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3 15],SA,10,10
15,4,30.0,0.013980440999999288,[15 17 15  6 16  6 10  7 12  7  1 14 17  9 10  2  3  0],SA,10,10
16,8,30.0,0.025701041999999674,[15 17 15  6 16  6 10  7 12  7  9 16 13  9 11  2  3  0],SA,10,10
17,16,32.0,0.04789733099999971,[12 15  8 10 16  6 10  7 12  7  9 16 11 15 11  5  3  0],SA,10,10
18,32,34.0,0.08634965999999977,[13  1 14 10 16  6 12  7 12 12  1 16 11 15 11  5  3  3],SA,10,10
19,64,38.0,0.1664249669999993,[ 6  1  1 17  7  6  1  7  2 12 15 16 11  3 13 16  3  3],SA,10,10
20,128,30.0,0.31916426799999975,[17 10 17  5  4  4  1  3  2 17 12  5 13  5 11  6  2 10],SA,10,10
21,256,12.0,0.5649142619999985,[12 17  3 14  9  4  1  4 11  0  8  5 12  2 16  5 13 10],SA,10,10
22,512,2.0,0.9785916769999989,[ 6 13  3 14  9  4  1 16 11  1  8 15  0  2  7  5 12 17],SA,10,10
23,1024,2.0,1.7622224509999995,[ 6 13  3 14  9  4  1  9 11 16  8 15  0  2  7  5 12 17],SA,10,10
24,2048,2.0,3.354828759,[ 6 13  3 14  9  4  1 16 11 16  8 15  0  2  7  5 12 17],SA,10,10
25,4096,0.0,5.0348818820000005,[16  7  3 14  9  4  1 15 11  5  8 13  0  2  6 12 10 17],SA,10,10
26,1,26.0,0.0038286660000004247,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3  6],SA,50,50
27,2,30.0,0.007535090000001077,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3 15],SA,50,50
28,4,30.0,0.013836581999999709,[15 17 15  6 16  6 10  7 12  7  1 14 17  9 10  2  3  0],SA,50,50
29,8,30.0,0.024972038000001362,[15 17 15  6 16  6 10  7 12  7  9 16 13  9 11  2  3  0],SA,50,50
30,16,32.0,0.0463542220000015,[12 15  8 10 16  6 10  7 12  7  9 16 11 15 11  5  3  0],SA,50,50
31,32,30.0,0.08751270300000158,[13  1  7  2 16 10 12  7 12 12  1 16 11 15 11  5  3  0],SA,50,50
32,64,44.0,0.16807355299999927,[ 6 16  1 17  7  9  9  2 11 12  6 16 11 16  7  3  3  0],SA,50,50
33,128,30.0,0.33269980300000057,[ 4  2  6 17  3  7 13  2 11 16 12 15 13  5  1 15  3 10],SA,50,50
34,256,32.0,0.6376834179999982,[12  2  3 17 10  8  2  8  4 12 15  9  3  8 16 14  6 14],SA,50,50
35,512,4.0,1.122557092000001,[ 6 12  2 16 14 17  1 10  4  5  0  9 11 15  7  1 13  8],SA,50,50
36,1024,4.0,1.9073351659999993,[ 9 12  6 16 14 17  5 10  2 15 11  1  4 15  7  0 13  8],SA,50,50
37,2048,4.0,3.4880161960000002,[ 9 12  6  8 14 17 13 10  2  7 11  1  4 15  9  0 16  3],SA,50,50
38,4096,0.0,5.971864553,[ 7 12 16  8  4 14  3 17  2  5 11  1 10 15 13  0  9  6],SA,50,50
39,1,26.0,0.00401574600000032,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3  6],SA,100,100
40,2,30.0,0.007757455000000135,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3 15],SA,100,100
41,4,30.0,0.014275341000001163,[15 17 15  6 16  6 10  7 12  7  1 14 17  9 10  2  3  0],SA,100,100
42,8,30.0,0.026060554000000735,[15 17 15  6 16  6 10  7 12  7  9 16 13  9 11  2  3  0],SA,100,100
43,16,32.0,0.048639274000002786,[12 15  8 10 16  6 10  7 12  7  9 16 11 15 11  5  3  0],SA,100,100
44,32,30.0,0.09048602300000042,[13  1  7  2 16 10 12  7 12 12  1 16 11 15 11  5  3  0],SA,100,100
45,64,44.0,0.17431396799999987,[ 6 16  1 17  7  9  9  2 11 12  6 16 11 16  7  3  3  0],SA,100,100
46,128,30.0,0.34190076000000147,[17  2  6 10 10 16  2  9 11 16 12 15 13  8  1  6 14 10],SA,100,100
47,256,28.0,0.6556446610000002,[11  1  2  6 14 17  2 13  4  6  3  9 12  3  9 14  7 13],SA,100,100
48,512,12.0,1.1960403610000014,[ 4 12  1  2  7 11  9  2 10 14 17 13  0  6  8 16  3  3],SA,100,100
49,1024,4.0,2.0154045190000005,[ 4 10 16 14  9  5  9  2  0  7 17  1 13  6  8 11  7  3],SA,100,100
50,2048,0.0,2.3649617050000025,[ 4 10 16 14 12  5  9  2  0 15 17  1 13  6  8 11  7  3],SA,100,100
51,4096,0.0,2.3649617050000025,[ 4 10 16 14 12  5  9  2  0 15 17  1 13  6  8 11  7  3],SA,100,100
52,1,26.0,0.0038896089999980177,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3  6],SA,250,250
53,2,30.0,0.007624463999999165,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3 15],SA,250,250
54,4,30.0,0.013950903999997877,[15 17 15  6 16  6 10  7 12  7  1 14 17  9 10  2  3  0],SA,250,250
55,8,30.0,0.02525749599999827,[15 17 15  6 16  6 10  7 12  7  9 16 13  9 11  2  3  0],SA,250,250
56,16,32.0,0.046917236999998835,[12 15  8 10 16  6 10  7 12  7  9 16 11 15 11  5  3  0],SA,250,250
57,32,28.0,0.08813138800000075,[13  1  7  2 16 10 12  7 12 12  1  3 11 15 11  5  3  0],SA,250,250
58,64,38.0,0.17118129900000056,[13 15  1 17  7  6  6  7 13  7 15  3 11 16  8  3  3  1],SA,250,250
59,128,32.0,0.3409795070000001,[17 10 14 12  3  7 13 17  6 16 12  8 13  6  1  6  2 10],SA,250,250
60,256,50.0,0.6762024449999977,[12  4 12  5 16  4  4  9  0 12  8  4 12 14  4  7  6  2],SA,250,250
61,512,16.0,1.2657706520000005,[ 4 16 13 12  2 11  8 14  1 10 16  0  0 12  9 17  3  3],SA,250,250
62,1024,4.0,2.216801071999999,[15 13 11  7  0  3 17 14  1  4 10  8  6 12 16  2  8  5],SA,250,250
63,2048,2.0,3.8205723869999986,[ 0 13 11  7  5  3 17 14  4 15  1  8  6 12 16  2  0 10],SA,250,250
64,4096,0.0,4.070412972,[ 3 13 11  7  5 10 17 14  4 15  1  8  6 12 16  2  0  9],SA,250,250
65,1,26.0,0.003944012999998137,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3  6],SA,500,500
66,2,30.0,0.00776559999999904,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3 15],SA,500,500
67,4,30.0,0.014052525000000315,[15 17 15  6 16  6 10  7 12  7  1 14 17  9 10  2  3  0],SA,500,500
68,8,30.0,0.025483373000000142,[15 17 15  6 16  6 10  7 12  7  9 16 13  9 11  2  3  0],SA,500,500
69,16,32.0,0.04774950599999883,[12 15  8 10 16  6 10  7 12  7  9 16 11 15 11  5  3  0],SA,500,500
70,32,28.0,0.08989487499999882,[13  1  7  2 16 10 12  7 12 12  1  3 11 15 11  5  3  0],SA,500,500
