,Iterations,Fitness,Time,State,runner_name,schedule,Temperature
0,1,22.0,0.005115697999999114,[15 17 15  6 16 13  4  7 12  7  1 14 17  9 10  2  3  6],SA,1,1
1,2,22.0,0.011974309999999377,[15 17 15  6 16 13  4  7 12  7  1 14 17  9 10  2  3  6],SA,1,1
2,4,22.0,0.019848687999999726,[15 17 15  6 16 13  4  7 12  7  1 14 17  9 10  2  3  6],SA,1,1
3,8,22.0,0.03854492399999998,[15 17  8  6 16 13  4  7 12  7  1 16 17  9 10  2  3  9],SA,1,1
4,16,16.0,0.06258399899999922,[15 14  8  6 16 13  4  7 12  7  1 16 11 15 10  2  3  9],SA,1,1
5,32,16.0,0.11870910000000023,[15  2 14  6 16 13  4  0 12 12  1 16 11 15 10  2  3  9],SA,1,1
6,64,12.0,0.22098684599999885,[ 6  1 14 17  1 13  4  0 12 12  7 16 11 15 10  2  3  9],SA,1,1
7,128,8.0,0.4118663920000003,[17 10 14  9  1 13  4  8  2 12  3 16 11  7  0 17  3  5],SA,1,1
8,256,4.0,0.7479119339999993,[17 10  6  9 14 13  1  8  2 12  3 16 11 15  6  4  0  5],SA,1,1
9,512,4.0,1.3888937539999997,[14 10  7  9 16 13  1  8  2 12 17 15 11 15  6  4  0  5],SA,1,1
10,1024,4.0,2.743148719999999,[14 10 15  3  9 13  2  8  1 12 16  1 11 15  6  4  0  5],SA,1,1
11,2048,2.0,5.356248247,[14  4  0  7  9 13  3  8 17 11  1  5 11  6 10  2 16 12],SA,1,1
12,1,26.0,0.006724545999999165,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3  6],SA,10,10
13,2,30.0,0.012462024999999599,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3 15],SA,10,10
14,4,30.0,0.022310461000000004,[15 17 15  6 16  6 10  7 12  7  1 14 17  9 10  2  3  0],SA,10,10
15,8,30.0,0.042654905999999215,[15 17 15  6 16  6 10  7 12  7  9 16 13  9 11  2  3  0],SA,10,10
16,16,32.0,0.07898834399999899,[12 15  8 10 16  6 10  7 12  7  9 16 11 15 11  5  3  0],SA,10,10
17,32,34.0,0.14665910399999937,[13  1 14 10 16  6 12  7 12 12  1 16 11 15 11  5  3  3],SA,10,10
18,64,38.0,0.28338312200000004,[ 6  1  1 17  7  6  1  7  2 12 15 16 11  3 13 16  3  3],SA,10,10
19,128,30.0,0.5200782869999987,[17 10 17  5  4  4  1  3  2 17 12  5 13  5 11  6  2 10],SA,10,10
20,256,12.0,0.9370772289999998,[12 17  3 14  9  4  1  4 11  0  8  5 12  2 16  5 13 10],SA,10,10
21,512,2.0,1.6620240549999998,[ 6 13  3 14  9  4  1 16 11  1  8 15  0  2  7  5 12 17],SA,10,10
22,1024,2.0,2.9000505139999984,[ 6 13  3 14  9  4  1  9 11 16  8 15  0  2  7  5 12 17],SA,10,10
23,2048,2.0,5.522070536999999,[ 6 13  3 14  9  4  1 16 11 16  8 15  0  2  7  5 12 17],SA,10,10
24,1,26.0,0.006207816999999949,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3  6],SA,50,50
25,2,30.0,0.011835438999998615,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3 15],SA,50,50
26,4,30.0,0.02225684000000072,[15 17 15  6 16  6 10  7 12  7  1 14 17  9 10  2  3  0],SA,50,50
27,8,30.0,0.043099767000001066,[15 17 15  6 16  6 10  7 12  7  9 16 13  9 11  2  3  0],SA,50,50
28,16,32.0,0.08161196600000054,[12 15  8 10 16  6 10  7 12  7  9 16 11 15 11  5  3  0],SA,50,50
29,32,30.0,0.15508550499999885,[13  1  7  2 16 10 12  7 12 12  1 16 11 15 11  5  3  0],SA,50,50
30,64,44.0,0.289299033999999,[ 6 16  1 17  7  9  9  2 11 12  6 16 11 16  7  3  3  0],SA,50,50
31,128,30.0,0.5680428139999982,[ 4  2  6 17  3  7 13  2 11 16 12 15 13  5  1 15  3 10],SA,50,50
32,256,32.0,1.0845773719999983,[12  2  3 17 10  8  2  8  4 12 15  9  3  8 16 14  6 14],SA,50,50
33,512,4.0,1.8931598150000006,[ 6 12  2 16 14 17  1 10  4  5  0  9 11 15  7  1 13  8],SA,50,50
34,1024,4.0,3.200819726999999,[ 9 12  6 16 14 17  5 10  2 15 11  1  4 15  7  0 13  8],SA,50,50
35,2048,4.0,5.974659039999999,[ 9 12  6  8 14 17 13 10  2  7 11  1  4 15  9  0 16  3],SA,50,50
36,1,26.0,0.006215857000000824,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3  6],SA,100,100
37,2,30.0,0.014274023999998775,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3 15],SA,100,100
38,4,30.0,0.024305433999998627,[15 17 15  6 16  6 10  7 12  7  1 14 17  9 10  2  3  0],SA,100,100
39,8,30.0,0.04455828500000081,[15 17 15  6 16  6 10  7 12  7  9 16 13  9 11  2  3  0],SA,100,100
40,16,32.0,0.08803541900000056,[12 15  8 10 16  6 10  7 12  7  9 16 11 15 11  5  3  0],SA,100,100
41,32,30.0,0.16477200699999983,[13  1  7  2 16 10 12  7 12 12  1 16 11 15 11  5  3  0],SA,100,100
42,64,44.0,0.3244677679999981,[ 6 16  1 17  7  9  9  2 11 12  6 16 11 16  7  3  3  0],SA,100,100
43,128,30.0,0.6481442870000009,[17  2  6 10 10 16  2  9 11 16 12 15 13  8  1  6 14 10],SA,100,100
44,256,28.0,1.2205193980000004,[11  1  2  6 14 17  2 13  4  6  3  9 12  3  9 14  7 13],SA,100,100
45,512,12.0,2.3352256649999994,[ 4 12  1  2  7 11  9  2 10 14 17 13  0  6  8 16  3  3],SA,100,100
46,1024,4.0,3.882514281999999,[ 4 10 16 14  9  5  9  2  0  7 17  1 13  6  8 11  7  3],SA,100,100
47,2048,0.0,4.568045056999999,[ 4 10 16 14 12  5  9  2  0 15 17  1 13  6  8 11  7  3],SA,100,100
48,1,26.0,0.007753751999999281,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3  6],SA,250,250
49,2,30.0,0.012869095999999303,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3 15],SA,250,250
50,4,30.0,0.023814701999999244,[15 17 15  6 16  6 10  7 12  7  1 14 17  9 10  2  3  0],SA,250,250
51,8,30.0,0.04382107500000032,[15 17 15  6 16  6 10  7 12  7  9 16 13  9 11  2  3  0],SA,250,250
52,16,32.0,0.07741868000000096,[12 15  8 10 16  6 10  7 12  7  9 16 11 15 11  5  3  0],SA,250,250
53,32,28.0,0.15362899799999852,[13  1  7  2 16 10 12  7 12 12  1  3 11 15 11  5  3  0],SA,250,250
54,64,38.0,0.2886886450000006,[13 15  1 17  7  6  6  7 13  7 15  3 11 16  8  3  3  1],SA,250,250
55,128,32.0,0.5717291479999993,[17 10 14 12  3  7 13 17  6 16 12  8 13  6  1  6  2 10],SA,250,250
56,256,50.0,1.1146456759999985,[12  4 12  5 16  4  4  9  0 12  8  4 12 14  4  7  6  2],SA,250,250
