,Iterations,Fitness,Time,State,runner_name,keep_pct,Keep Percent
0,1,813.631519113027,5.060195576000297,[20  2  0 12 11  5  6 10  9 15 19  3 16  8  7 17  4 21 14 18  1 13],MIMIC,0.1,0.1
1,2,813.631519113027,9.601976851000018,[20  2  0 12 11  5  6 10  9 15 19  3 16  8  7 17  4 21 14 18  1 13],MIMIC,0.1,0.1
2,4,813.631519113027,18.50756046100014,[20  2  0 12 11  5  6 10  9 15 19  3 16  8  7 17  4 21 14 18  1 13],MIMIC,0.1,0.1
3,8,813.631519113027,35.140172693000295,[20  2  0 12 11  5  6 10  9 15 19  3 16  8  7 17  4 21 14 18  1 13],MIMIC,0.1,0.1
4,16,813.631519113027,69.6248078880003,[20  2  0 12 11  5  6 10  9 15 19  3 16  8  7 17  4 21 14 18  1 13],MIMIC,0.1,0.1
5,32,813.631519113027,150.94591344300034,[20  2  0 12 11  5  6 10  9 15 19  3 16  8  7 17  4 21 14 18  1 13],MIMIC,0.1,0.1
6,64,813.631519113027,355.7900760560001,[20  2  0 12 11  5  6 10  9 15 19  3 16  8  7 17  4 21 14 18  1 13],MIMIC,0.1,0.1
7,128,813.631519113027,754.237057666,[20  2  0 12 11  5  6 10  9 15 19  3 16  8  7 17  4 21 14 18  1 13],MIMIC,0.1,0.1
8,256,813.631519113027,1574.298495638,[20  2  0 12 11  5  6 10  9 15 19  3 16  8  7 17  4 21 14 18  1 13],MIMIC,0.1,0.1
9,512,813.631519113027,3132.806670339,[20  2  0 12 11  5  6 10  9 15 19  3 16  8  7 17  4 21 14 18  1 13],MIMIC,0.1,0.1
10,1024,813.631519113027,5413.242410477,[20  2  0 12 11  5  6 10  9 15 19  3 16  8  7 17  4 21 14 18  1 13],MIMIC,0.1,0.1
11,2048,813.631519113027,10298.643724723,[20  2  0 12 11  5  6 10  9 15 19  3 16  8  7 17  4 21 14 18  1 13],MIMIC,0.1,0.1
12,1,865.2073705142338,6.22641412899975,[ 1 15 17  9  6  8  2 20  3 12  5 11  4  0 14  7 21 19 10 13 16 18],MIMIC,0.25,0.25
13,2,858.7224960521955,12.001960323001185,[20  2  1 12 16  5 13  6 15 19  4 10  3  8 17  0 11  9 21 18  7 14],MIMIC,0.25,0.25
14,4,775.5978351235174,22.030211438999686,[ 5 11  1 13 20  2  0 19 15  8 18 10 14  4 17  3 21  7  9  6 12 16],MIMIC,0.25,0.25
15,8,710.7851429512853,43.72978692500146,[13 11  5 19 18 16 14 21  9  7 15  3  6  8 20 12  0  2  4 10 17  1],MIMIC,0.25,0.25
16,16,710.7851429512853,80.9647861960002,[13 11  5 19 18 16 14 21  9  7 15  3  6  8 20 12  0  2  4 10 17  1],MIMIC,0.25,0.25
17,32,710.7851429512853,154.4667181980003,[13 11  5 19 18 16 14 21  9  7 15  3  6  8 20 12  0  2  4 10 17  1],MIMIC,0.25,0.25
18,64,710.7851429512853,303.3523008049997,[13 11  5 19 18 16 14 21  9  7 15  3  6  8 20 12  0  2  4 10 17  1],MIMIC,0.25,0.25
19,128,710.7851429512853,596.5718290000004,[13 11  5 19 18 16 14 21  9  7 15  3  6  8 20 12  0  2  4 10 17  1],MIMIC,0.25,0.25
20,256,710.7851429512853,1183.9733472509997,[13 11  5 19 18 16 14 21  9  7 15  3  6  8 20 12  0  2  4 10 17  1],MIMIC,0.25,0.25
21,512,710.7851429512853,2281.882753778,[13 11  5 19 18 16 14 21  9  7 15  3  6  8 20 12  0  2  4 10 17  1],MIMIC,0.25,0.25
