,Iterations,Fitness,Time,State,runner_name,current_restart,Restarts
0,2,1161.1702347815929,0.010208565999999752,[13  6 19  5  9  2 14 16  7 10 12 21 20 15 11  4  1 18 17  0  3  8],RHC,0,0
1,4,1155.596670792663,0.02109210199999989,[13  6 19  5  9 20 14 16  7 10 12 21  2 15 11  4  1 18 17  0  3  8],RHC,0,0
2,8,1116.9008091583516,0.03985651399999979,[13  6  5 19  9 20 14 16  7 17 12  2 21 15 11  4  1 18 10  0  3  8],RHC,0,0
3,16,998.4442898595303,0.07013395599999983,[ 9  6  5 19 13 20 14  7 15 17 12  4 21 16 11  2  1 18 10  0  3  8],RHC,0,0
4,32,803.285460577658,0.1235916640000001,[11  6  5 19 13 14 20  7 12  0 15  9 21 16  4  2  1 18 10 17  3  8],RHC,0,0
5,64,682.4229475456608,0.22556234199999992,[11 10  5 19 13 14 20  7 12  0 15 16 21  9  4  2  1  8  6  3 17 18],RHC,0,0
6,128,571.7846791221638,0.414698311,[11 10 15 19 13 14 20  0  7 12  5  1 21  4  9 16  8  2  6  3 17 18],RHC,0,0
7,256,511.63909361829553,0.7877458799999997,[11 10  3  8 13 14 20  0  7 12  5  1  6  4  9 16  2 19 21 15 18 17],RHC,0,0
8,512,479.6617845030203,1.5652511869999999,[18 10  3 21 13 14 20  0  7 12  5  1  6  4  9 16 19  2  8 11 17 15],RHC,0,0
9,1024,478.47710277467695,3.0406552139999996,[18 10  3  1 13 14 20  0  7 12  5 21  6  4  9 16 19  2  8 11 17 15],RHC,0,0
10,2048,478.47710277467695,6.043975282,[18 10  3  1 13 14 20  0  7 12  5 21  6  4  9 16 19  2  8 11 17 15],RHC,0,0
11,2,1161.1702347815929,0.009664943000000648,[13  6 19  5  9  2 14 16  7 10 12 21 20 15 11  4  1 18 17  0  3  8],RHC,0,5
12,4,1155.596670792663,0.018528844000000433,[13  6 19  5  9 20 14 16  7 10 12 21  2 15 11  4  1 18 17  0  3  8],RHC,0,5
13,8,1116.9008091583516,0.03649703800000026,[13  6  5 19  9 20 14 16  7 17 12  2 21 15 11  4  1 18 10  0  3  8],RHC,0,5
14,16,998.4442898595303,0.0662398400000015,[ 9  6  5 19 13 20 14  7 15 17 12  4 21 16 11  2  1 18 10  0  3  8],RHC,0,5
15,32,803.285460577658,0.12220663100000095,[11  6  5 19 13 14 20  7 12  0 15  9 21 16  4  2  1 18 10 17  3  8],RHC,0,5
16,64,682.4229475456608,0.21855925300000045,[11 10  5 19 13 14 20  7 12  0 15 16 21  9  4  2  1  8  6  3 17 18],RHC,0,5
17,128,571.7846791221638,0.4181900360000004,[11 10 15 19 13 14 20  0  7 12  5  1 21  4  9 16  8  2  6  3 17 18],RHC,0,5
18,256,511.63909361829553,0.7757953730000011,[11 10  3  8 13 14 20  0  7 12  5  1  6  4  9 16  2 19 21 15 18 17],RHC,0,5
19,512,479.6617845030203,1.499867677000001,[18 10  3 21 13 14 20  0  7 12  5  1  6  4  9 16 19  2  8 11 17 15],RHC,0,5
20,1024,478.47710277467695,2.9327900380000003,[18 10  3  1 13 14 20  0  7 12  5 21  6  4  9 16 19  2  8 11 17 15],RHC,0,5
21,2048,478.47710277467695,5.819640345,[18 10  3  1 13 14 20  0  7 12  5 21  6  4  9 16 19  2  8 11 17 15],RHC,0,5
22,2,943.7944351688884,5.855437010000001,[18 17 21  3 16  4 19  9  6  0  1 20 12 14 13 15 11  8  5  2  7 10],RHC,1,5
23,4,858.8745280854386,5.865984073,[18 17  0  3  4 16 19  9  6 21  1 20 12 14 13 15 11  8  5  2  7 10],RHC,1,5
24,8,858.8745280854386,5.877331013000001,[18 17  0  3  4 16 19  9  6 21  1 20 12 14 13 15 11  8  5  2  7 10],RHC,1,5
25,16,858.8745280854386,5.898979744,[18 17  0  3  4 16 19  9  6 21  1 20 12 14 13 15 11  8  5  2  7 10],RHC,1,5
26,32,777.1785806594074,5.9535410020000015,[18 17  7  8  4 16 19  9  6 21  1 15 12 14 13 20 11  0  5  2  3 10],RHC,1,5
27,64,664.5443394297773,6.048239594,[18 17 15  8  6 16 19  9  4 21  1  7 12 14 13 20  0 11  5  2  3 10],RHC,1,5
28,128,619.0034150021323,6.22372584,[18 17 15  8  6 16 19  9  4 21  1  2 12 13 14 20  0  7  5 11  3 10],RHC,1,5
29,256,580.6457739104849,6.584855691000001,[18 17 15 11 21 16 19  9  4  6  1  2 14 13 12 20  0  7  5  8  3 10],RHC,1,5
30,512,453.19858943899663,7.305624262000002,[18 15 17 11  1 19 16  9  4  6 21  8  2 13 14 20  0  7 12  5  3 10],RHC,1,5
31,1024,453.19858943899663,8.789398206000001,[18 15 17 11  1 19 16  9  4  6 21  8  2 13 14 20  0  7 12  5  3 10],RHC,1,5
32,2048,453.19858943899663,11.814990773000002,[18 15 17 11  1 19 16  9  4  6 21  8  2 13 14 20  0  7 12  5  3 10],RHC,1,5
33,2,1246.891734446347,11.850663715,[11  4 19 21  0  6 13  7  3  5 12  9 14 17 15  1 10  2 16  8 18 20],RHC,2,5
34,4,1246.7359020000083,11.8591406,[11  4 19  6  0 21 13  7  3  5 12  9 14 17 15  1 10  2 16  8 18 20],RHC,2,5
35,8,1226.723872500607,11.872721664,[11  4 19  6  0 21 13  7  3  5 12 18 14 17 15  1 10  2 16  8  9 20],RHC,2,5
36,16,1037.6488506320038,11.905087649000002,[11  4 19  6  0  7 13  8 15 18 12  5 14 17  3  1 10  2 16 21  9 20],RHC,2,5
37,32,905.8133253272424,11.959950641999999,[11 21 19  6  0  7  5  8 15 18 13 20 12 17 10  1  3  2 16  4  9 14],RHC,2,5
38,64,850.2352265455474,12.055607481,[ 0 21  3  6 11  8  5  7 15 17 12 20 13 18 10  1 19  2 16  4  9 14],RHC,2,5
39,128,757.373176107555,12.240878508000002,[ 0 21  6 18 11  1  5 17 15  7 12 20 13  3 10  8  2 19 16  4  9 14],RHC,2,5
40,256,650.0825443757152,12.63431447,[20  2  3 18 11 10  5 17 15  7 12  0 14  8  1  6 21 19 16  4  9 13],RHC,2,5
41,512,560.9862326084881,13.380368793999999,[ 2  1  3 10  5 11 17 18 15 12  7  0 14 13 20  6 21 19 16  4  9  8],RHC,2,5
42,1024,448.52282313710526,14.916262669000002,[ 8  5  1  3 10 11 17 18 15 12  7  0 20 13 14  9  4  6 21 16 19  2],RHC,2,5
43,2048,436.61737900728275,17.951318728,[ 8  5  1  3 10 11 17 18 15 12  7  0 20 14 13  9  4  6 21 16 19  2],RHC,2,5
44,2,991.2596407457461,17.987141126,[20 16  5  9 21  1 17 11  0 12  2  8  6  3 19  4 10  7 13 14 18 15],RHC,3,5
45,4,955.1255929577907,17.996163676000002,[20 16  5  9 21  1 17 11  7 12  2  8  6  3 19  4 10  0 13 14 18 15],RHC,3,5
46,8,955.1255929577907,18.008414723,[20 16  5  9 21  1 17 11  7 12  2  8  6  3 19  4 10  0 13 14 18 15],RHC,3,5
47,16,940.5954170168686,18.035765448,[ 0 16  5  9 21  1 17 11  7 12  2  8  6  3 19  4 10 20 13 14 18 15],RHC,3,5
48,32,816.0720457938576,18.092961554000002,[ 0  2  8  9  4  1 17 11  7 12  5 10  6  3 19 21 16 20 13 14 18 15],RHC,3,5
49,64,751.1580147144585,18.210771587,[18  8  2  9  4  1 11  0  7 12  5 19  6  3 10 21 16 20 13 14 17 15],RHC,3,5
