,Iteration,Fitness,Time,State,schedule,Temperature
0,0,2604.0046688370826,0.002728811000000775,"[44 16 21 42 19 26 41 23 48 29 38 18 35 36 11  8 28 12  2 40 43 24  0 30
  5 13 14 37 25  9 32 33 27 49  3 34 10 17  1  7 20 39  4 31 46 45 22  6
 15 47]",1,1
1,1,2604.0046688370826,0.01009452799999977,"[44 16 21 42 19 26 41 23 48 29 38 18 35 36 11  8 28 12  2 40 43 24  0 30
  5 13 14 37 25  9 32 33 27 49  3 34 10 17  1  7 20 39  4 31 46 45 22  6
 15 47]",1,1
2,2,2604.0046688370826,0.020478930999999534,"[44 16 21 42 19 26 41 23 48 29 38 18 35 36 11  8 28 12  2 40 43 24  0 30
  5 13 14 37 25  9 32 33 27 49  3 34 10 17  1  7 20 39  4 31 46 45 22  6
 15 47]",1,1
3,4,2536.87854948333,0.03266368500000105,"[44 16 21 42 19 26 43 23 48 29 38 18 35 36 11  8 28 12  2 40 41 24  4 30
  5 13 14 37 25  9 32 33 27 49  3 34 10 17  1  7 20 39  0 31 46 45 22  6
 15 47]",1,1
4,8,2418.4969389128073,0.04853728700000026,"[44 16 21 42 19 26 43 23 48 29 38 18 35 36 11  8 45 12  2 40 41 24  4 30
  5 13 14 37 25  9 32 33 27 49  3 34 10 17  1  7 20 39  0 31 46 28 22  6
 15 47]",1,1
5,16,2377.8299357901415,0.08349993100000042,"[44 16 21  7 19 26 43 23 48 29 38 18 35 36 11  8 45 12  2 37 41 24  4 30
  5 13 14 40 25  9 32 33 27  3 49 34 10 17  6 42 20 39  0 31 46 28 22  1
 15 47]",1,1
6,32,2143.404580275153,0.13139289000000076,"[44 39 21  7 19  4 43 26 48 29  8 20 35 36 11 38 45 12  2 37 41 24 16 30
  5 13 14 40 25  9 32 15 27  3 49 34 10 17  6 42 18 33  0 31 46 28 22  1
 23 47]",1,1
7,64,1956.856522986848,0.19486240099999996,"[40 39 10  7 19  4 43 48 26 29  8 20 28 36 11 38 45 12 32 37 41 24 16 31
  5 13 14 44 25  9 23 15 27  3 49 34 21 17 47 42 18 33  0 30 46 35 22  1
  2  6]",1,1
8,128,1640.3944455510518,0.3336350760000002,"[ 3 39 19 27 10 34 43 31 26 29  8 48 33 36 11 12 45 38 32 37 41 24 16 20
  0 13 15 44 25  9 23 30  7 40 49 28 21 17 47 42 18  1  5 14 46 35 22  4
  2  6]",1,1
9,256,1410.715012356224,0.8029275069999997,"[19 30 15 27 13 20 43 31 26 29  8 48 33 12 11 36 38 45 32 37 39 24 16 34
  0  6  3 44 25  9 17 49  7 40 41 35 21 23 47 42 18  1  5 14 46 28  4 22
  2 10]",1,1
10,512,1256.0946605118681,1.3833996109999998,"[15 19 30 27 13 20 43 31  2 29  8 48 33 12 16  5 38 45 32 41 35 24 11 36
 34 10  3  9 39 49 17 44  7 42 37 25 21 23 47 40 18  1  0 14 46 28  4 22
 26  6]",1,1
11,1024,1123.3934981729703,2.4643696520000002,"[15 19 10 13 27 20 12 31  2 29  8 48 33 11 16  5 38 45 34 41 22 24 36 43
 32 42  3  9 49 39 17 23  7 30 37 40 21 46 47 25  0  1 18 14 44 28  4 35
 26  6]",1,1
12,2048,1095.8003826215424,5.131216551000001,"[15 19 10 27 13 31 12 20  2 29  8 48 33 11 16  5 38 45 34 41 22 24 36 43
 32  3 42  9 49 39 17 23  7 30 37 40 21 46 47 25  0  1 18 14 44 35 28  4
 26  6]",1,1
13,0,2604.0046688370826,0.004942694000000358,"[44 16 21 42 19 26 41 23 48 29 38 18 35 36 11  8 28 12  2 40 43 24  0 30
  5 13 14 37 25  9 32 33 27 49  3 34 10 17  1  7 20 39  4 31 46 45 22  6
 15 47]",10,10
14,1,2604.0046688370826,0.01501286899999954,"[44 16 21 42 19 26 41 23 48 29 38 18 35 36 11  8 28 12  2 40 43 24  0 30
  5 13 14 37 25  9 32 33 27 49  3 34 10 17  1  7 20 39  4 31 46 45 22  6
 15 47]",10,10
15,2,2604.0046688370826,0.02576385800000125,"[44 16 21 42 19 26 41 23 48 29 38 18 35 36 11  8 28 12  2 40 43 24  0 30
  5 13 14 37 25  9 32 33 27 49  3 34 10 17  1  7 20 39  4 31 46 45 22  6
 15 47]",10,10
16,4,2536.87854948333,0.04926429700000057,"[44 16 21 42 19 26 43 23 48 29 38 18 35 36 11  8 28 12  2 40 41 24  4 30
  5 13 14 37 25  9 32 33 27 49  3 34 10 17  1  7 20 39  0 31 46 45 22  6
 15 47]",10,10
